תאריך,יום,בעלים,ערוץ,טור,לקוח / משימה,דלי,מהלך,מוטיבים,ארכיטיפ,אזור,יום מסלול,מוצר מוביל,SKU,חומר שיווקי,פוטנציאל/שנה,קצב צפוי,מחזור 12ח׳,תה 12ח׳,מאצ'ה 12ח׳,חור מוזה,וואטסאפ,פתיחה,הסגירה,אם מסרבים,למה היום,תוצאה (זכה / לא עכשיו / לא ענה / סירב),תאריך תוצאה
2026-10-11,ראשון,תום,וואטסאפ — תום,וואטסאפ 1,בלה מאפיה,T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,צפון,שלישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4412,496,3294,3294,0,,"היי בלה מאפיה, אתם קונים אצלנו תמציות ב-₪3,294 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪3,294 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-10-11,ראשון,תום,וואטסאפ — תום,וואטסאפ 1,"פתפותים- לחמים ומאפים קמח כוסמין בע""מ",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,צפון,שלישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4031,439,2462,2462,0,,"היי פתפותים- לחמים ומאפים קמח כוסמין בע""מ, אתם קונים אצלנו תמציות ב-₪2,462 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪2,462 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-10-11,ראשון,תום,וואטסאפ — תום,וואטסאפ 1,איתי גוטליב עגלת קפה מישקא,T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,צפון,שלישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4006,435,6478,6478,0,,"היי איתי גוטליב עגלת קפה מישקא, אתם קונים אצלנו תמציות ב-₪6,478 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪6,478 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-10-11,ראשון,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,פינת הבילויים (״פינתה קפה ולחם בע״מ״),T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,דרום,רביעי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3906,420,7176,2284,0,,,,,,,,
2026-10-11,ראשון,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,נאבי,T3,מאצ'ה — עומק,E2 E5,מעורב,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,3866,580,15528,8172,2720,,,,,,,,
2026-10-11,ראשון,תום,וואטסאפ — תום,וואטסאפ 1,קפה במפעל א.ד.ם בע״מ,T3,מאצ'ה — עומק,E2 E3 E4,תה בלבד,דרום,רביעי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,3839,488,4120,3120,1000,,"היי קפה במפעל א.ד.ם בע״מ, אתם על ₪1,000 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪1,550. הפער הוא בערך 258 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪1,000 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪1,550, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה,,
2026-10-11,ראשון,תום,משימת מערכת,משימת מערכת,לוח התוצאות השבועי,—,—,,,,,,,,,,,,,,,,,,q4_scoreboard.py,,
2026-10-12,שני,אלכס+אבי,פגישה — אלכס + אבי,פגישה משותפת,נורד,T1,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,51776,15640,64736,64736,0,,"היי נורד, אתם קונים אצלנו תמציות ב-₪64,736 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪64,736 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה — קו חדש,,
2026-10-12,שני,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"ג'מה ר.ג בע""מ (ג'מה)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3834,410,3953,3953,0,,,,,,,,
2026-10-12,שני,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"ח.צ. סושי בר בע""מ (אוקינאווה לבונטין)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3822,408,3510,3510,0,,,,,,,,
2026-10-12,שני,תום,וואטסאפ — תום,וואטסאפ 1,"או.ש בייק אנד ברד בע""מ (Bake &amp; Bread)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,צפון,שלישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3802,405,9565,9396,0,,"היי או.ש בייק אנד ברד בע""מ (Bake &amp; Bread), אתם קונים אצלנו תמציות ב-₪9,396 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪9,396 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-10-12,שני,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"צייט פור ברוט בע""מ",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3748,397,3276,3276,0,,,,,,,,
2026-10-12,שני,תום,וואטסאפ — תום,וואטסאפ 1,"קיוסקפה נוש בע""מ",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,צפון,שלישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3619,377,7459,7459,0,,"היי קיוסקפה נוש בע""מ, אתם קונים אצלנו תמציות ב-₪7,459 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪7,459 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-10-12,שני,תום,וואטסאפ — תום,וואטסאפ 1,Amore,T3,מאצ'ה — קו חדש,E1 E4 E5,תה בלבד,צפון,שלישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3584,430,10953,9223,0,,"היי Amore, אתם קונים אצלנו תמציות ב-₪9,223 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪9,223 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-10-12,שני,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"פטלינה בע""מ",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3515,362,4026,4026,0,,,,,,,,
2026-10-12,שני,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"איטלקיה בפקריס בע""מ (פיאטו)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3510,361,2524,2524,0,,,,,,,,
2026-10-12,שני,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"פטיט פוד בע""מ (קפה ארצי)",T3,מאצ'ה — עומק,E2 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,3480,434,9227,7722,1330,,,,,,,,
2026-10-12,שני,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"משק ימיני (ג.ל.י גפן בע""מ)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3433,349,3615,3197,0,,,,,,,,
2026-10-13,שלישי,אבי,פגישה — אלכס + אבי,מעקב 2 — סגירה,R2M,T1,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,63251,19656,120726,120726,0,,,,"אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.","אם לא מאצ'ה — מחית פרי. שלושה אייס-מאצ'ה בקטלוג בנויים על מחית, והיא עובדת גם לבד בשייק. ₪60 לליטר.",,,
2026-10-13,שלישי,אבי,משימת מערכת,משימת מערכת,לכידת טלפונים — 10 חשבונות,—,—,,,,,,,,,,,,,,,,,,0 מתוך 153 בשופיפיי,,
2026-10-13,שלישי,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"טואר בנמל בע""מ (פו סושי - FU)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3406,345,2196,2196,0,,,,,,,,
2026-10-13,שלישי,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,פסיליטי,T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3404,345,2191,2106,0,,,,,,,,
2026-10-13,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,דודה איתי דמתי (קפה דודה),T3,מאצ'ה — עומק,E2 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,3189,390,3848,2808,740,,"היי דודה איתי דמתי (קפה דודה), אתם על ₪740 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪1,550. הפער הוא בערך 380 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪740 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪1,550, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה,,
2026-10-13,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,קפה בוסקו,T3,מאצ'ה — עומק,E2 E3 E4,מעורב,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,3152,385,5940,4290,590,,"היי קפה בוסקו, אתם על ₪590 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪1,550. הפער הוא בערך 450 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪590 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪1,550, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה,,
2026-10-13,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,סברה קפה בע״מ,T3,מאצ'ה — קו חדש,E1 E5,מעורב,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3114,390,13267,9522,0,,"היי סברה קפה בע״מ, אתם קונים אצלנו תמציות ב-₪9,522 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪9,522 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-10-13,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,מסעדת ראיסה,T3,מאצ'ה — עומק,E2 E3 E5,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,2984,390,4270,4290,760,,"היי מסעדת ראיסה, אתם על ₪760 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪1,550. הפער הוא בערך 370 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪760 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪1,550, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה,,
2026-10-13,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,"אבן יוגורט בע""מ (פרש מרקט מרקורי העין)",T3,מאצ'ה — קו חדש,E1 E3 E4,בר,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,2710,241,5010,3172,0,,"היי אבן יוגורט בע""מ (פרש מרקט מרקורי העין), אתם קונים אצלנו תמציות ב-₪3,172 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪3,172 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-10-13,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,"נאדי בתי קפה בע""מ",T3,מאצ'ה — עומק,E2 E3 E4,תה בלבד,דרום,רביעי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,2597,302,4763,4143,620,,"היי נאדי בתי קפה בע""מ, אתם על ₪620 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪1,550. הפער הוא בערך 436 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪620 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪1,550, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה,,
2026-10-13,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,"ברדקלאב בייקרי בע""מ (בראדקלאב שרונים)",T3,מאצ'ה — עומק,E2 E3 E4,מעורב,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,2544,294,7573,4923,1060,,"היי ברדקלאב בייקרי בע""מ (בראדקלאב שרונים), אתם על ₪1,060 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪1,550. הפער הוא בערך 230 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪1,060 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪1,550, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה,,
2026-10-13,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,"א.מ בייקרי גבעתיים בע""מ (תחנת לחם גבעתיים)",T3,מאצ'ה — עומק,E2 E4 E5,מעורב,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,1991,268,5692,4252,690,,"היי א.מ בייקרי גבעתיים בע""מ (תחנת לחם גבעתיים), אתם על ₪690 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪1,550. הפער הוא בערך 403 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪690 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪1,550, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה,,
2026-10-14,רביעי,אבי,משימת מערכת,משימת מערכת,לכידת טלפונים — 10 חשבונות,—,—,,,,,,,,,,,,,,,,,,0 מתוך 153 בשופיפיי,,
2026-10-14,רביעי,אלכס,משימת מערכת,משימת מערכת,13:00 עם תום — 10 דקות על היעדים,—,—,,,,,,,,,,,,,,,,,,,,
2026-10-15,חמישי,אבי,פגישה — אלכס + אבי,מעקב 1 — אבי,נורד,T1,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,51776,15640,64736,64736,0,,,,"אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,,,
2026-10-15,חמישי,אבי,שיחה — אבי,שיחה 1,פתאל,T2,תה — עומק ורוחב,E5,תה בלבד,מרכז,ראשון/שני/חמישי,NAMASTEA 1ל׳ ₪65,GT-MAS-CHA-1L,תפריט הקטגוריה של המשפחה,10403,2601,47304,0,,,"היי פתאל, עברתי על ההזמנות שלכם. נמסטיאה (צ'אי מסאלה) אף פעם לא נכנסה אליכם, ו-55.8% מבתי עסק שמוכרים בעיקר תה קר קונים נמסטיאה (צ'אי מסאלה). שווה ₪5,765 בשנה. להוסיף NAMASTEA 1000ml למשלוח הקרוב? כן/לא","אתם מזמינים מאיתנו דיטוקס, פרש, קונשסנס — ונמסטיאה (צ'אי מסאלה) אף פעם לא נכנסה להזמנה. 55.8% מבתי עסק שמוכרים בעיקר תה קר קונים נמסטיאה (צ'אי מסאלה).","אני קופץ אליכם לרבע שעה ומראה לבריסטה את לימונדת צ'אי מסאלה על NAMASTEA 1000ml — ₪3.95 עלות רכיבים לכוס, ₪22 בתפריט, 79% רווח. אם זה עובד, אני מוסיף את זה למשלוח הקרוב.",,תה — עומק ורוחב,,
2026-10-15,חמישי,אבי,שיחה — אבי,שיחה 1,"קפה אניצ'ה בע""מ",T2,אובה — הרחבה על מאצ'ה,E4 E5,ספיישלטי,מרכז,ראשון/שני/חמישי,אובה 500g ₪175,UBE-POWDER-0.5-KG,מאצ'ה — המקרה העסקי (סעיף אובה) · דף ציוד,10069,2473,31265,0,13905,,"היי קפה אניצ'ה בע""מ, יש לכם מאצ'ה על הדלפק — אובה היא חמישה משקאות נוספים על אותו ציוד בדיוק. ₪175 לחצי קילו, ונשאר לכם ₪22.13 לכוס. להוסיף למשלוח הקרוב? כן/לא","אובה עובדת רק אצל מי שכבר עושה מאצ'ה, כי היא על אותו ציוד ואותו הרגל עבודה. אצלכם זה כבר קיים.","אני מוסיף חצי קילו אובה למשלוח הקרוב. אותו מקצף, אותו ספל, חמישה משקאות חדשים בתפריט.",,אובה — הרחבה על מאצ'ה,,
